viable	emission	foils	thickness	span	chord	alpha	Cl	Cd	stress	stability
1	3060.78412845461	NACA3211	0.44	40	4	4	0.7663	0.00516	19843586.1189334	35598.0461057829
0	3061.17614175873	NACA2405	0.2	45	4	4	0.6669	0.00579	107968214.413469	36727.6085303031
1	3062.44367218821	NACA2212	0.48	45	4	4	0.6653	0.00517	18699510.6528551	35151.8456958647
0	3062.68133414374	NACA2308	0.32	45	4	4	0.665	0.00537	42054926.8214857	35603.8541652928
0	3064.02692936819	NACA3306	0.24	40	4	4	0.7616	0.00583	66287423.6145454	36531.7091306796
1	3064.6618504398	NACA2211	0.44	45	4	4	0.6625	0.00497	22160304.4457962	34486.5338475797
1	3064.92387430173	NACA3209	0.36	40	4	4	0.7603	0.00483	29410789.0838812	34576.8352696092
1	3065.26885312233	NACA3210	0.4	40	4	4	0.7598	0.005	23807072.4874467	34860.6897169711
1	3065.82081923528	NACA3208	0.32	40	4	4	0.759	0.00478	37159384.0853926	34396.1416155419
1	3066.08782217297	NACA2309	0.36	45	4	4	0.6607	0.00518	33013722.6336426	34859.4519544119
0	3067.03846999508	NACA2307	0.28	45	4	4	0.6595	0.00554	54474584.9710378	35628.2049590535
0	3067.13173875353	NACA3305	0.2	40	4	4	0.7571	0.00594	94889889.8670485	36434.968546298
1	3068.06833846903	NACA2210	0.4	45	4	4	0.6582	0.00479	26639930.5469131	33766.8798705334
0	3068.78763709238	NACA3207	0.28	40	4	4	0.7547	0.00465	48259739.690563	33865.6045016948
0	3070.04885476509	NACA2208	0.32	45	4	4	0.6557	0.00468	41466790.2508995	33336.7155893504
0	3070.20729606878	NACA2306	0.24	45	4	4	0.6555	0.00562	73696252.7157463	35544.7520017813
0	3070.23654813888	NACA3304	0.16	40	4	4	0.7526	0.00595	147384202.701799	36153.2784861483
0	3072.37541682656	NACA3206	0.24	40	4	4	0.7495	0.00467	65234275.2089047	33557.1296268659
0	3073.05923953511	NACA2305	0.2	45	4	4	0.6519	0.00571	105539779.541371	35513.6036213175
0	3073.13846018695	NACA2207	0.28	45	4	4	0.6518	0.0048	53838566.3140598	33356.1284599775
1	3073.61378409801	NACA2209	0.36	45	4	4	0.6512	0.00468	32539028.5742819	33032.0109098378
0	3076.51516267368	NACA3205	0.2	40	4	4	0.7435	0.00493	93185356.1169602	33646.5985027726
0	3078.20858190488	NACA2206	0.24	45	4	4	0.6454	0.00519	72560734.5579599	33847.7245055276
0	3082.32805580069	NACA2205	0.2	45	4	4	0.6402	0.0055	103645600.341135	34234.0229730455
0	3085.41766122255	NACA2204	0.16	45	4	4	0.6363	0.00555	160959698.866234	34094.259785973
1	3112.18597272308	NACA2412	0.48	40	4	4	0.6918	0.00581	15053059.2359974	32009.1242024457
1	3114.53182870312	NACA2411	0.44	40	4	4	0.6884	0.00579	17826340.4466577	31764.3011977391
1	3117.22266350375	NACA2410	0.4	40	4	4	0.6845	0.00574	21447671.9105781	31434.2038701403
1	3120.81044323792	NACA2409	0.36	40	4	4	0.6793	0.00567	26277454.9844542	30989.9415648738
1	3121.56939664323	NACA2312	0.48	40	4	4	0.6782	0.0053	14757133.2377182	30232.9829898921
1	3124.0532441515	NACA2408	0.32	40	4	4	0.6746	0.00566	33027299.7417732	30689.9289999856
1	3124.32922720798	NACA2311	0.44	40	4	4	0.6742	0.00521	17458626.8581298	29825.7451222803
0	3124.32922720798	NACA2407	0.28	40	4	4	0.6742	0.00572	43112119.3843614	30778.119535028
0	3126.74407895213	NACA2406	0.24	40	4	4	0.6707	0.00574	58375755.0134921	30607.3528082073
1	3128.12399423451	NACA2310	0.4	40	4	4	0.6687	0.00514	20952605.1228686	29368.4759495367
0	3129.36591798865	NACA2405	0.2	40	4	4	0.6669	0.00579	83584820.4363157	30475.9961531276
1	3130.46985021455	NACA2212	0.48	40	4	4	0.6653	0.00517	14476438.7246445	29223.9678805786
1	3130.6768375069	NACA2308	0.32	40	4	4	0.665	0.00537	32557299.6268591	29579.8032865294
1	3132.40173160987	NACA2211	0.44	40	4	4	0.6625	0.00497	17155651.5774414	28686.1128175257
1	3133.64365536401	NACA2309	0.36	40	4	4	0.6607	0.00518	25557948.6356969	28972.9634874214
0	3134.47160453343	NACA2307	0.28	40	4	4	0.6595	0.00554	42172119.1545333	29575.1846103032
1	3135.36854946698	NACA2210	0.4	40	4	4	0.6582	0.00479	20623605.0424288	28098.8975946836
1	3137.09344356995	NACA2208	0.32	40	4	4	0.6557	0.00468	32101987.0155361	27748.2565844669
0	3137.23143509819	NACA2306	0.24	40	4	4	0.6555	0.00562	57052791.7270674	29492.0190662578
0	3139.71528260646	NACA2305	0.2	40	4	4	0.6519	0.00571	81704819.9766595	29451.99294445
0	3139.78427837058	NACA2207	0.28	40	4	4	0.6518	0.0048	41679738.0817662	27746.8942278534
1	3140.19825295529	NACA2209	0.36	40	4	4	0.6512	0.00468	25190458.8339122	27488.2408192244
0	3144.20000727418	NACA2206	0.24	40	4	4	0.6454	0.00519	56173717.4380614	28108.1250543615
0	3147.78778700835	NACA2205	0.2	40	4	4	0.6402	0.0055	80238419.6181277	28391.4536167159
0	3150.47862180898	NACA2204	0.16	40	4	4	0.6363	0.00555	124608780.466589	28264.7184914551
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
