viable	emission	foils	thickness	span	chord	alpha	Cl	Cd	stress	stability
0	0.948660155170923	NACA3406	0.12	25	2	4	0.7791	0.00683	109952283.82755	0.240138062437274
0	0.935334715402704	NACA3406	0.12	25	2	6	0.9935	0.00851	140209978.157709	0.358036423665436
0	0.94555875850845	NACA4204	0.08	25	2	4	0.829	0.00709	263237706.853213	0.263847538307005
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	0.944508385690899	NACA4206	0.12	25	2	4	0.8459	0.00567	119379587.844596	0.253314534785731
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	0.944191409278502	NACA4304	0.08	25	2	4	0.851	0.00715	270223508.482611	0.274021052061026
0	0.932693245299396	NACA4304	0.08	25	2	6	1.036	0.0221	328967749.457092	0.549903128196303
0	0.942923503628915	NACA4306	0.12	25	2	4	0.8714	0.00533	122978334.138528	0.260229754058712
0	0.93023201668549	NACA4306	0.12	25	2	6	1.0756	0.0087	151796529.951114	0.403723154956649
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	0.941705319769506	NACA4406	0.12	25	2	4	0.891	0.00717	125744429.329159	0.292037027125424
0	0.928566336714463	NACA4406	0.12	25	2	6	1.1024	0.00899	155578741.742384	0.422230575606749
1	0.905737009116746	NACA2204	0.24	25	6	4	0.6378	0.00518	17284720.1580429	0.248329739169995
1	0.875517510226419	NACA2204	0.24	25	6	6	0.8488	0.00936	23002932.6907288	0.442137049574022
1	0.904548280013478	NACA2206	0.36	25	6	4	0.6461	0.00504	7782068.70430405	0.251388852480721
1	0.873125729982492	NACA2206	0.36	25	6	6	0.8655	0.00635	10424671.8210419	0.417431945489916
1	0.904089974817037	NACA2304	0.24	25	6	4	0.6493	0.00522	17596376.291341	0.255509575928264
1	0.872982509608604	NACA2304	0.24	25	6	6	0.8665	0.00652	23482612.1306745	0.420338579785101
1	0.902944211825934	NACA2306	0.36	25	6	4	0.6573	0.00525	7916969.13688137	0.260601820131905
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	0.901068024928004	NACA2406	0.36	25	6	4	0.6704	0.00538	8074754.46427091	0.270076048586692
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	0.893090650102453	NACA3204	0.24	25	6	4	0.7261	0.00104	19677697.2511053	0.250929664483148
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	0.88959607297959	NACA3206	0.36	25	6	4	0.7505	0.00449	9039533.45082834	0.310314210260621
1	0.858875302780655	NACA3206	0.36	25	6	6	0.965	0.00665	11623117.6283136	0.503377538414226
1	0.88900886944665	NACA3304	0.24	25	6	4	0.7546	0.00556	20450062.4510178	0.326474080288623
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	0.88771988608166	NACA3306	0.36	25	6	4	0.7636	0.00551	9197318.77821788	0.332015416710416
1	0.856483522536729	NACA3306	0.36	25	6	6	0.9817	0.00681	11824263.8090315	0.520048926957346
1	0.885628868622898	NACA3404	0.24	25	6	4	0.7782	0.00569	21089635.0376121	0.344424081168968
1	0.856956149770559	NACA3404	0.24	25	6	6	0.9784	0.012	26515161.8103311	0.582004834254937
1	0.884440139519629	NACA3406	0.36	25	6	4	0.7865	0.00571	9473141.98411258	0.350534989025728
1	0.853261064124253	NACA3406	0.36	25	6	6	1.0042	0.00695	12095269.1423342	0.541963805596588
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	0.874944628730868	NACA4206	0.36	25	6	4	0.8528	0.00453	10271704.3662444	0.384833709889695
1	0.844682163728373	NACA4206	0.36	25	6	6	1.0641	0.00701	12816745.5629933	0.598624652792066
1	0.874199882786651	NACA4304	0.24	25	6	4	0.858	0.00591	23252257.5973672	0.406098458014089
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	0.872409628113053	NACA4306	0.36	25	6	4	0.8705	0.00569	10484895.2284425	0.413099142766015
1	0.841488349390675	NACA4306	0.36	25	6	6	1.0864	0.0072	13085341.9599999	0.622641784146006
1	0.869659796934407	NACA4404	0.24	25	6	4	0.8897	0.00603	24111344.5039366	0.43260086769591
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	0.868241915232918	NACA4406	0.36	25	6	4	0.8996	0.00607	10835395.4595139	0.441095050501512
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
